,ADDRESS,CAMIS,Latitude,Longitude
8721,5722  CLARENDON ROAD,41403222,40.6448126,-73.92261853
8740,301 PARK AVENUE,41404013,40.75654812,-73.974362
8748,206 VARICK STREET,41404858,40.72860497,-74.00524098
8773,7417       3 AVENUE ,41406341,40.63201095,-74.02749094
8800,757        FULTON STREET ,41408464,40.68632269,-73.97431876
8805,110 WEST 40 STREET,41408564,40.75374018,-73.98563644
8813,24 WEST 40 STREET,41409233,40.75248211,-73.98264766
8822,222 FRANKLIN STREET,41410058,40.73331609,-73.95808414
8873,3738 RIVERDALE AVENUE,41414123,40.88738724,-73.90713659
8904,782        WASHINGTON AVENUE ,41416298,40.67453585,-73.96320308
8946,474        BERGEN STREET ,41418524,40.68087712,-73.97561292
8954,340 3 AVENUE,41418978,40.74015998,-73.98226092
8985,75         FRANKLIN STREET ,41421237,40.71778629,-74.00439546
8995,2370       UNIVERSITY AVENUE ,41422140,40.86209804,-73.90543457
8997,54         WEST 21 STREET ,41422201,40.74094464,-73.99228978
9056,63 READE STREET,41425805,40.71490416,-74.00652502
9060,2740 HYLAN BOULEVARD,41425977,40.565916,-74.114338
9147,1575 2 AVENUE,41430762,40.77516585,-73.95380219
9157,7523 3 AVENUE,41431607,40.63127592,-74.02779164
9355,484 AMSTERDAM AVENUE,41445602,40.78592954,-73.97637967
9400,200 WEST STREET,41448719,40.71424799,-74.01423616
9437,57 EMPIRE BOULEVARD,41450623,40.66338207,-73.9602519
9503,236        8 AVENUE ,41453860,40.74462333,-73.99889414
9510,881        10 AVENUE ,41454101,40.76951493,-73.98834837
9534,3275       WESTCHESTER AVENUE ,41455194,40.85267216,-73.82780838
9543,293 FLATBUSH AVENUE,41455608,40.67916207,-73.97380862
9562,2011 CHURCH AVENUE,41456579,40.65015211,-73.96088976
9584,44 BERRY STREET,41457453,40.72104513,-73.95650933
9642,610        UTICA AVENUE ,41460224,40.65864233,-73.93119197
9651,1050       FORBELL STREET ,41460812,40.66373528,-73.86042159
9652,1675       LEXINGTON AVENUE ,41460820,40.79156288,-73.94669379
9689,2944 VICTORY BOULEVARD,41462617,40.60719378,-74.16070071
9711,404        EAST 14 STREET ,41463516,40.73125037,-73.98244625
9723,5702 18 AVENUE,41464097,40.62376272,-73.98561576
9793,6          EAST 32 STREET ,41468267,40.74696868,-73.98520993
